id,pred,split
mydoc_25160,09/01/2013 - 09/30/2013,public
mydoc_28236,Michigan House Democratic Fund,public
mydoc_4248,20,public
mydoc_26829,Push Media,public
mydoc_6331,123 Main Street,public
mydoc_3430,Southwest,public
mydoc_6188,01/01/2010,public
mydoc_23463,ets,public
mydoc_21945,$190.00,public
mydoc_525,0.00,public
mydoc_3113,10/29/02,public
mydoc_10332,10%,public
mydoc_23148,03/05/2015,public
mydoc_23586,St. Louis,public
mydoc_15619,8,public
mydoc_15789,Michigan,public
mydoc_24794,111010,public
mydoc_13094,"$172,750.00",public
mydoc_8344,AMPERSAND CABLE SYSTEM ORDER,public
mydoc_7100,Strategic Media Services,public
mydoc_1945,$0.00,public
mydoc_16730,"1015 15th Street, NW",public
mydoc_15819,"14,180.00",public
mydoc_27537,26,public
mydoc_12268,52,public
mydoc_9800,Ameritech,public
mydoc_22419,52,public
mydoc_82,1048,public
mydoc_29224,Estimate,public
mydoc_17986,10%,public
mydoc_15398,E212454,public
mydoc_6335,1,public
mydoc_23394,175.00,public
mydoc_12606,Political Issue,public
mydoc_24791,4:00PM,public
mydoc_1486,0.00,public
mydoc_12754,Karen,public
mydoc_29015,MCN,public
mydoc_8890,EffectTV@aol.com,public
mydoc_16853,5188,public
mydoc_6557,AYG,public
mydoc_22509,Payment for Broadcast Time,public
mydoc_13289,Mary,public
mydoc_23952,$226.00,public
mydoc_7981,The Nielsen Company,public
mydoc_14817,Adam Metz,public
mydoc_11341,7,public
mydoc_29339,2112,public
mydoc_14181,Plus Communications,public
mydoc_1240,Signature,public
mydoc_1078,11/13/2002,public
mydoc_26819,February,public
mydoc_17569,1,public
mydoc_20586,01,public
mydoc_29623,"1,250.00",public
mydoc_5358,1,public
mydoc_28838,AMR,public
mydoc_16293,22,public
mydoc_15131,$0.00,public
mydoc_5036,President of the United States,public
mydoc_21354,"$21,680.00",public
mydoc_10866,Monthly,public
mydoc_19415,1300,public
mydoc_26171,10/01/2010 - 09/30/2011,public
mydoc_2636,08/20/2009,public
mydoc_9107,506,public
mydoc_8404,IN,public
mydoc_21687,1,public
mydoc_27588,401800,public
mydoc_19307,Amerigroup,public
mydoc_12592,03/01/2022,public
mydoc_13433,1,public
mydoc_3952,One Pringles Vote,public
mydoc_9551,1022920,public
mydoc_10274,13,public
mydoc_19881,CNN,public
mydoc_21552,120732,public
mydoc_6494,Order Contract,public
mydoc_6654,09/02/02,public
mydoc_11870,2017-0016,public
mydoc_7114,17,public
mydoc_20396,110137,public
mydoc_23395,173.00,public
mydoc_15013,02/12/2010,public
mydoc_17627,Medium Buying LLC,public
mydoc_12496,candidate,public
mydoc_23803,11/14/04,public
mydoc_16340,AMP,public
mydoc_15569,The Nielsen Company,public
mydoc_24986,30,public
mydoc_19181,01/12/2012,public
mydoc_27271,The Nielsen Company,public
mydoc_27025,508-435-8200,public
mydoc_15380,1,public
mydoc_11876,"$454,477",public
mydoc_28022,3248,public
mydoc_17826,"$12,648.17",public
mydoc_3891,affidavit,public
mydoc_16283,KMBC,public
mydoc_9139,end,public
mydoc_29378,AF,public
mydoc_23412,9,public
mydoc_16807,NCC/GTC,public
mydoc_28948,"12,000.00",public
mydoc_27598,Linda,public
mydoc_21197,$172.00,public
mydoc_25524,Boston,public
mydoc_16566,6146,public
mydoc_27345,The Campbell Group,public
mydoc_22580,Affidavit Time Charges,public
mydoc_8161,12:00PM,public
mydoc_14084,1700,public
mydoc_26263,RJRT,public
mydoc_15961,624510,public
mydoc_17744,07/01/2002 - 06/30/2003,public
mydoc_25997,52,public
mydoc_22367,The Nielsen Company,public
mydoc_20512,"167,000.00",public
mydoc_1071,03/06/2014,public
mydoc_24981,1500,public
mydoc_20283,"$1,000",public
mydoc_24464,Columbus Dispatch,public
mydoc_10420,N/A,public
mydoc_1381,A,public
mydoc_15863,Katie,public
mydoc_28920,7012,public
mydoc_23050,2:30,public
mydoc_26883,LOCAL POLITICAL CAMPAIGN AGENCY,public
mydoc_26919,Strategic Media Services,public
mydoc_18485,11/10/2009,public
mydoc_1471,work,public
mydoc_23856,RJ Reynolds,public
mydoc_6094,WRAL,public
mydoc_15006,1000,public
mydoc_167,WSB,public
mydoc_6999,1012,public
mydoc_1208,77.00,public
mydoc_1219,"$120,000.00",public
mydoc_22111,"$3,450",public
mydoc_16496,Winston,public
mydoc_10920,0.00,public
mydoc_802,1000,public
mydoc_9519,7510,public
mydoc_24535,Sports,public
mydoc_10280,11/12/2010,public
mydoc_6128,$100.00,public
mydoc_6492,30,public
mydoc_29006,Singles,public
mydoc_6035,06/12/2012,public
mydoc_9294,TV,public
mydoc_1780,5199,public
mydoc_958,Strategic Media Services,public
mydoc_10999,Standard,public
mydoc_3229,1,public
mydoc_18461,West Palm Beach,public
mydoc_7728,1,public
mydoc_17707,WL,public
mydoc_17917,NBC Universal,public
mydoc_2146,Main Street,public
mydoc_24434,Page 4,public
mydoc_22220,2,public
mydoc_2508,116004,public
mydoc_16021,800150,public
mydoc_10648,WSB,public
mydoc_79,21,public
mydoc_5333,Units,public
mydoc_14187,800-526-4424,public
mydoc_24854,140055,public
mydoc_11529,Wheel of Fortune,public
mydoc_17801,11/17/02 - 11/23/02,public
mydoc_25949,05/16/2013,public
mydoc_5654,casella waste,public
mydoc_258,1,public
mydoc_8509,DC,public
mydoc_4772,"$12,000",public
mydoc_2118,1/16/2009,public
mydoc_16347,"$58,660.00",public
mydoc_25314,701777,public
mydoc_6222,GTC,public
mydoc_4716,WBAP,public
mydoc_22587,VISA,public
mydoc_21541,123456,public
mydoc_13687,104548,public
mydoc_23731,800-551-5449,public
mydoc_1797,Mary,public
mydoc_27415,118200,public
mydoc_24091,180.20,public
mydoc_10745,1/1/2002 - 12/31/2002,public
mydoc_5977,1/1/2003,public
mydoc_16545,103,public
mydoc_18545,"$4,132.00",public
mydoc_6021,1,public
mydoc_22388,Household,public
mydoc_20885,617-661-8300,public
mydoc_5313,01/01/2012 - 12/31/2012,public
mydoc_18768,"Bloomfield, NJ",public
mydoc_28504,"$1,292,580.00",public
mydoc_22634,WRAL,public
mydoc_9473,131,public
mydoc_21899,702644,public
mydoc_27022,"$45,281.57",public
mydoc_1341,808-886-0818,public
mydoc_27109,866-554-3272,public
mydoc_29388,Maria Mazza,public
mydoc_19553,Amper,public
mydoc_25374,Thomas Communications,public
mydoc_9593,50/50,public
mydoc_3553,STD,public
mydoc_16448,1200 19th St. NW,public
mydoc_17178,1001,public
mydoc_18544,"45,000",public
mydoc_22148,0000274,public
mydoc_12347,Thomas Green,public
mydoc_3837,Eclipse for Smokers,public
mydoc_22238,121772,public
mydoc_15425,1,public
mydoc_11468,Medium Buying LLC,public
mydoc_15512,60199,public
mydoc_2129,The Nielsen Company,public
mydoc_16707,"July 19, 2020",public
mydoc_10369,POC,public
mydoc_4244,0.00,public
mydoc_10535,Robert Cornell,public
mydoc_19158,affidavit,public
mydoc_9815,50/50,public
mydoc_23793,09/01/2019 - 10/31/2019,public
mydoc_9966,103777,public
mydoc_18343,Monthly,public
mydoc_8806,Polaris For Scientific,public
mydoc_252,06/03/2016,public
mydoc_23905,"1,978.00",public
mydoc_10052,10,public
mydoc_28413,RJR,public
mydoc_3521,01/01/2010,public
mydoc_20031,WAL-MART STORES,public
mydoc_4510,12300,public
mydoc_23910,The Nielsen Company,public
mydoc_7016,$175.00,public
mydoc_3236,600500,public
mydoc_19121,116453,public
mydoc_1259,366177,public
mydoc_13233,2000,public
mydoc_27424,08/15/2002,public
mydoc_11657,"$1,063",public
mydoc_4446,"21,200,000.00",public
mydoc_25848,10/16/2012,public
mydoc_17591,OMD,public
mydoc_4297,Del Cielo Media,public
mydoc_10483,2,public
mydoc_3164,$100,public
mydoc_25092,123456,public
mydoc_28890,Crossroads Media,public
mydoc_24006,750,public
mydoc_3592,12,public
mydoc_13905,05/15/2013,public
mydoc_23573,30 Days,public
mydoc_6870,NC,public
mydoc_15955,700700,public
mydoc_27737,Candace Good,public
mydoc_26159,Continued,public
mydoc_14333,"$1,000",public
mydoc_12770,1,public
mydoc_6164,Prime,public
mydoc_20779,Pending,public
mydoc_25846,12/13/2000,public
mydoc_20466,11655 Rockville Pike,public
mydoc_6987,4012-0012,public
mydoc_17443,POLLY PINTO COUNTY,public
mydoc_11961,Ron Johnson,public
mydoc_16768,Noble Media,public
mydoc_25839,General Election,public
mydoc_7792,Father,public
mydoc_13789,A,public
mydoc_6574,2/22/2021,public
mydoc_27228,The Nielsen Company,public
mydoc_20008,Hyatt Nyc,public
mydoc_4865,07/01/12 - 09/30/12,public
mydoc_705,02/20/2017,public
mydoc_28604,11082008,public
mychart_396_vbar,loss,public
mychart_315_line,12%,public
mychart_418_hbar,1500,public
mychart_122_hbar,0,public
mychart_82_hbar,"$10,000",public
mychart_192_pie,No,public
mychart_116_hbar,0,public
mychart_479_hbar,1.5,public
mychart_474_vbar,0,public
mychart_452_vbar,"1,000",public
mychart_90_line,990,public
mychart_144_vbar,2,public
mychart_221_vbar,"38,000",public
mychart_292_hbar,0.45,public
mychart_467_hbar,"20,000",public
mychart_51_hbar,20.00,public
mychart_79_line,"176,284",public
mychart_149_hbar,"$1,154,000",public
mychart_514_hbar,100,public
mychart_193_vbar,No,public
mychart_218_hbar,"20,000",public
mychart_441_vbar,because they are not required,public
mychart_392_line,0,public
mychart_39_vbar,0,public
mychart_267_hbar,1000000,public
mychart_36_hbar,100,public
mychart_477_hbar,"100,000",public
mychart_516_hbar,15,public
mychart_242_vbar,Balance,public
mychart_40_hbar,0,public
mychart_423_vbar,120,public
mychart_407_sct,"8,000",public
mychart_101_hbar,15000,public
mychart_499_vbar,0%,public
mychart_630_vbar,11.65,public
mychart_380_hbar,0,public
mychart_18_vbar,"20,000",public
mychart_208_hbar,0.00,public
mychart_236_hbar,"150,000",public
mychart_638_vbar,0.1%,public
mychart_335_vbar,"15,000",public
mychart_133_vbar,0,public
mychart_160_vbar,0,public
mychart_83_vbar,2,public
mychart_488_pie,65,public
mychart_637_hbar,"1,000",public
mychart_433_vbar,"20,000",public
mychart_145_hbar,"10,000",public
mychart_76_hbar,30,public
mychart_537_hbar,0,public
mychart_78_hbar,"5,576,781",public
mychart_627_hbar,"1,000",public
mychart_618_line,10,public
mychart_639_hbar,0.0%,public
mychart_99_sct,30,public
mychart_84_hbar,0,public
mychart_338_hbar,50%,public
mychart_201_vbar,107,public
mychart_438_hbar,"3,000",public
mychart_210_sct,0.00,public
mychart_240_vbar,Sales,public
mychart_241_hbar,Marketing,public
mychart_531_hbar,"3,000,000",public
mychart_457_hbar,16000,public
mychart_343_vbar,"1,050,000",public
mychart_562_vbar,26,public
mychart_60_vbar,"1,100",public
mychart_525_hbar,Administration,public
mychart_161_hbar,20000,public
mychart_344_hbar,"1,000,000",public
mychart_293_vbar,2.2,public
mychart_74_pie,2.5,public
mychart_44_hbar,"200,000",public
mychart_342_hbar,0,public
mychart_456_vbar,2,public
mychart_351_line,"1,500,000",public
mychart_333_vbar,100,public
mychart_135_vbar,10,public
mychart_72_line,1.6,public
mychart_209_line,10,public
mychart_148_vbar,"$1,400,000",public
mychart_464_vbar,15,public
mychart_378_pie,4.3%,public
mychart_497_vbar,10,public
mychart_187_sct,250000,public
mychart_466_vbar,$0,public
mychart_494_hbar,0,public
mychart_17_pie,5.0,public
mychart_616_vbar,0,public
mychart_356_sct,"1,000",public
mychart_519_vbar,"$1,000,000",public
mychart_533_hbar,20,public
mychart_10_hbar,0,public
mychart_299_vbar,33,public
mychart_381_line,7.8,public
mychart_565_hbar,loss,public
mychart_56_vbar,12,public
mychart_360_line,"1,600",public
mychart_153_hbar,30,public
mychart_579_vbar,"3,500",public
mychart_383_vbar,"30,000",public
mychart_358_vbar,"6,273",public
mychart_379_vbar,0.00,public
mychart_534_line,"1,000",public
mychart_414_pie,3,public
mychart_370_vbar,0.0,public
mychart_150_line,"$1,000,000",public
mychart_118_hbar,"1,000",public
mychart_4_pie,"$100,000",public
mychart_128_hbar,"1,000",public
mychart_305_line,"66,678",public
mychart_465_hbar,15,public
mychart_50_vbar,10000,public
mychart_610_vbar,17,public
mychart_235_vbar,12,public
mychart_174_vbar,0%,public
mychart_609_hbar,10,public
mychart_345_vbar,0,public
mychart_162_line,25,public
mychart_58_vbar,0,public
mychart_24_vbar,"150,000",public
mychart_93_hbar,20%,public
mychart_324_pie,Contractual,public
mychart_469_hbar,"8,000",public
mychart_270_vbar,"1,000",public
mychart_359_hbar,"1,000",public
mychart_151_sct,0,public
mychart_374_vbar,100,public
mychart_13_vbar,$0,public
mychart_7_line,$0,public
mychart_158_vbar,10%,public
mychart_222_hbar,"200,000",public
mychart_253_hbar,"10,000",public
mychart_27_hbar,"2,500",public
mychart_573_vbar,750,public
mychart_436_hbar,"20,000",public
mychart_30_pie,Risk,public
mychart_454_vbar,0,public
mychart_213_vbar,"$1,500",public
mychart_451_hbar,100,public
mychart_545_hbar,100,public
mychart_265_hbar,0,public
mychart_69_sct,2,public
mychart_328_hbar,"10,000",public
mychart_280_sct,0,public
mychart_152_vbar,"10,000",public
mychart_459_hbar,15%,public
mychart_111_vbar,10%,public
mychart_492_sct,"1,000,000",public
mychart_287_line,0,public
mychart_515_vbar,"1,079,000",public
mychart_485_hbar,Schedule II,public
mychart_624_vbar,"1,000",public
mychart_163_sct,1,public
mychart_260_line,10,public
mychart_363_hbar,"1,200",public
mychart_2_line,"$10,000",public
mychart_132_hbar,100,public
mychart_493_vbar,10,public
mychart_119_vbar,2,public
mychart_526_vbar,350000,public
mychart_593_hbar,"1,500",public
mychart_156_vbar,0,public
mychart_587_vbar,"36,000",public
mychart_425_vbar,100,public
mychart_234_hbar,155000,public
mychart_561_hbar,2,public
mychart_548_vbar,0,public
mychart_138_hbar,0,public
mychart_316_sct,1%,public
mychart_15_vbar,"20,000",public
mychart_508_sct,"3,000,000",public
mychart_347_vbar,10%,public
mychart_472_vbar,"$1,000",public
mychart_350_hbar,"6,750,000",public
mychart_0_vbar,10,public
mychart_483_hbar,7.5,public
mychart_203_vbar,0.0,public
mychart_232_hbar,"20,000",public
mychart_272_vbar,2,public
mychart_85_line,100,public
mychart_369_hbar,"16,193,728",public
mychart_112_hbar,-12.5%,public
mychart_386_sct,167000,public
mychart_298_hbar,1000,public
mychart_357_pie,"6,733",public
mychart_375_hbar,"1,000,000",public
mychart_77_vbar,"66,741",public
mychart_463_hbar,"16,000",public
mychart_523_pie,Administration,public
mychart_33_line,potential obligations,public
mychart_427_line,"2,000,000",public
mychart_365_hbar,12.50,public
mychart_574_hbar,675,public
mychart_599_hbar,12/31/2010,public
mychart_139_vbar,1,public
mychart_71_hbar,0.10,public
mychart_225_vbar,"2,000",public
mychart_295_vbar,12.50,public
mychart_553_sct,"1,000",public
myinfographic_5,"Tomatoes, Olives, Strawberries",public
myinfographic_8,24 hours,public
myinfographic_20,Bankruptcy & Foreclosure Attorneys,public
myinfographic_23,18-24,public
myinfographic_33,In-store,public
myinfographic_34,Scotland,public
myinfographic_47,DON'T KNOW WHERE TO FIND WORK,public
myinfographic_62,credibility,public
myinfographic_66,Made up of colored pixels,public
myinfographic_76,yes,public
myinfographic_88,Batmobile,public
myinfographic_117,7:31,public
myinfographic_123,Filling,public
myinfographic_138,typical superhero attire,public
myinfographic_149,Don't forget fruits,public
myinfographic_158,No,public
myinfographic_171,Red,public
myinfographic_178,Yes,public
myinfographic_185,for survival,public
myinfographic_191,$29.99,public
myinfographic_204,30-50,public
myinfographic_208,No,public
myinfographic_217,know the basics,public
myinfographic_219,brewing,public
myinfographic_252,wrench,public
myinfographic_269,Regular inspections,public
myinfographic_280,Increased self confidence,public
myinfographic_287,Comfortable,public
myinfographic_302,"age, climate",public
myinfographic_316,it is better to hire professionals,public
myinfographic_318,laminateflooringexperts.com,public
myinfographic_333,Benefits of Mind Mapping,public
myinfographic_340,99.8%,public
myinfographic_341,Yes,public
myinfographic_347,Personalized Workout,public
myinfographic_360,running helps you to fight the three diseases,public
myinfographic_384,larger,public
myinfographic_391,Leaving American sector,public
myinfographic_406,Bumper Retailer,public
myinfographic_407,Affiliate Marketing,public
myinfographic_409,Best Amazon Account Account Management Services in India,public
myinfographic_411,Rejected,public
myinfographic_417,Bridal Makeup,public
myinfographic_418,100% original,public
myinfographic_431,Material,public
myinfographic_441,Best & Easy Content Marketing Techniques,public
myinfographic_447,to see how everything has changed over time,public
myinfographic_450,Business growth,public
myinfographic_457,Relieve constipation,public
myinfographic_467,Franchise Business,public
myinfographic_478,Iron,public
myinfographic_479,Benefits of participation,public
myinfographic_517,stand,public
myinfographic_548,taking notes,public
myinfographic_577,Facebook,public
myinfographic_593,other,public
myinfographic_602,MP45,public
myinfographic_616,£500,public
myinfographic_632,10%,public
myinfographic_647,20%,public
myinfographic_664,Grown in size and reach,public
myinfographic_681,Big Data,public
myinfographic_688,51-minute reduction,public
myinfographic_689,NoSQL,public
myinfographic_701,5,public
myinfographic_704,"road trip, sleep",public
myinfographic_711,real conversations,public
myinfographic_723,internet auctions,public
myinfographic_726,Assuranty.com,public
myinfographic_729,4.55 $,public
myinfographic_732,non-motorized,public
myinfographic_741,September 2012,public
myinfographic_744,Education,public
myinfographic_766,"Range option, Above/Below (High/Low) option, Touch option",public
myinfographic_776,breastfeeding,public
myinfographic_784,50,public
myinfographic_804,Brute force,public
myinfographic_806,bullish,public
myinfographic_821,Update your system software,public
myinfographic_826,pepper spray/mace,public
myinfographic_854,blockbusters,public
myinfographic_873,WordPress,public
myinfographic_880,15%,public
myinfographic_890,30,public
myinfographic_933,knee,public
myinfographic_975,increasing disposable income and a rising number of middle-class consumers,public
myinfographic_1025,Fonts,public
myinfographic_1030,impeachment,public
myinfographic_1037,2014,public
myinfographic_1056,River of January,public
myinfographic_1058,give and go,public
myinfographic_1086,Boston Red Sox,public
myinfographic_1090,No,public
myinfographic_1094,labels,public
myinfographic_1102,The First Academy Awards,public
myinfographic_1103,Headaches,public
myinfographic_1117,"Insomnia, Jaw Pain, Sensitive Teeth",public
myinfographic_1127,Europe,public
myinfographic_1136,Walter White,public
myinfographic_1152,No,public
myinfographic_1160,Improved work environment,public
myinfographic_1178,50%,public
myinfographic_1183,Moving to the cloud,public
myinfographic_1187,"Transit, the first satellite navigation system",public
myinfographic_1194,exponential,public
myinfographic_1206,run practice drills to ensure I can,public
myinfographic_1220,determine,public
myinfographic_1249,stable,public
myinfographic_1254,Número de aviones,public
myinfographic_1257,Kepler mission,public
myinfographic_1282,Studio,public
myinfographic_1284,"Fast, Highest Quality, Service",public
myinfographic_1342,Nike,public
myinfographic_1360,adjectives,public
myinfographic_1363,yes,public
myinfographic_1397,Heatmap,public
myinfographic_1433,Networking tools,public
myinfographic_1439,Don't Lose Your Position in Precious Metals by Trading,public
myinfographic_1466,"Idea Management, Knowledge Network, Social Media Management",public
myinfographic_1480,2015,public
myinfographic_1489,USA,public
myinfographic_1491,18-29,public
myinfographic_1492,FDA Approved,public
myinfographic_1501,2,public
myinfographic_1525,Checkerboard,public
myinfographic_1576,Yes,public
myinfographic_1578,2.5 hours,public
myinfographic_1589,Technology,public
myinfographic_1590,1 month,public
myinfographic_1591,Beijing,public
myinfographic_1599,Yes,public
myinfographic_1604,5 to 25 times,public
myinfographic_1613,$300-$1500,public
myinfographic_1646,"Australia, Overseas",public
myinfographic_1648,security cameras,public
myinfographic_1658,Silent,public
myinfographic_1672,Interest rate,public
myinfographic_1686,50%,public
myinfographic_1708,Argentina,public
myinfographic_1716,"27,000",public
myinfographic_1721,3.8%,public
myinfographic_1730,National Highway Traffic Safety Administration,public
myinfographic_1740,Event tracking is a method,public
myinfographic_1753,Removing Unnecessary Access,public
myinfographic_1757,We are ever ready to respond to our stakeholders,public
myinfographic_1776,"4,000,000",public
myinfographic_1778,color,public
myinfographic_1784,90%,public
myinfographic_1789,$8-$11,public
myinfographic_1799,$500 billion,public
myinfographic_1801,O futuro,public
myinfographic_1820,Travel,public
myinfographic_1849,don't,public
myinfographic_1855,salt,public
myinfographic_1863,Relevance,public
myinfographic_1876,white & cream,public
myinfographic_1878,Order your rings,public
myinfographic_1879,Tour de France,public
myinfographic_1883,smoking,public
myinfographic_1885,No,public
myinfographic_1903,DON'T,public
myinfographic_1906,Trustworthiness,public
myinfographic_1917,current record,public
myinfographic_1933,blue,public
myinfographic_1935,better and more often,public
myinfographic_1948,encourage,public
myinfographic_1959,2-3 times a week,public
myinfographic_1961,use your own voice,public
myinfographic_1966,Arugula,public
myinfographic_1971,No,public
myinfographic_1991,"150,000",public
myinfographic_2008,Small Batches,public
myinfographic_2019,10,public
myinfographic_2046,Unprofessional,public
myinfographic_2049,sleep positions may determine your personality,public
myinfographic_2072,Equestrian show,public
myinfographic_2081,regulate blood sugar levels,public
myinfographic_2096,3,public
myinfographic_2106,payment,public
myinfographic_2116,4,public
myinfographic_2131,28%,public
myinfographic_2140,'whatever',public
myinfographic_2164,12%,public
myinfographic_2181,Click on state to begin,public
myinfographic_2189,smoking,public
myinfographic_2194,$75,public
myinfographic_2197,color,public
myinfographic_2202,Race to the Top,public
myinfographic_2213,Death Penalty,public
myinfographic_2219,Remote,public
myinfographic_2223,35,public
myinfographic_2226,110/65,public
myinfographic_2242,Hypnotic voices,public
myinfographic_2254,World Toe Wrestling Championship,public
myinfographic_2261,4 years,public
myinfographic_2263,Invest in Bordeaux,public
myinfographic_2272,pie chart,public
myinfographic_2273,Manufacturing Engineer,public
myinfographic_2290,$40,public
myinfographic_2295,yes,public
myinfographic_2297,Rapid,public
myinfographic_2307,Marksman,public
myinfographic_2316,200 man-hours,public
myinfographic_2318,Various,public
myinfographic_2324,energywise.govt.nz,public
myinfographic_2328,"Burek, Bosnia & Herzegovina",public
myinfographic_2341,Increase,public
myinfographic_2347,contract,public
myinfographic_2349,insulation,public
myinfographic_2362,MICR Code,public
myinfographic_2367,1.5% to 3.6%,public
myinfographic_2368,55%,public
myinfographic_2377,10x,public
myinfographic_2389,Industry Professionals,public
myinfographic_2391,Enhance your golf experience,public
myinfographic_2399,lock,public
myinfographic_2400,Hand/Frame,public
myinfographic_2408,Happiness,public
myinfographic_2415,Does it provide access to eat?,public
myinfographic_2416,barley and wheat,public
myinfographic_2421,Victoire,public
myinfographic_2423,Menopause,public
myinfographic_2431,WeHeartIt,public
myinfographic_2436,Personal data leaks to third parties,public
myinfographic_2460,no doors or any windows,public
myinfographic_2483,3,public
myinfographic_2484,Dr. James,public
myinfographic_2492,Scroll down to see exactly where your wedding budget should be spent,public
myinfographic_2571,Creeper,public
myinfographic_2572,Air conditioning systems,public
myinfographic_2575,About me,public
myinfographic_2599,no,public
myinfographic_2617,Grey goo theory,public
myinfographic_2618,Health Insurance Benefits,public
myinfographic_2655,"Apple App Store, Google Play",public
myinfographic_2663,no,public
myinfographic_2684,68%,public
myinfographic_2687,S4,public
myinfographic_2703,iPod,public
myinfographic_2706,liquor,public
myinfographic_2717,Rehydration,public
myinfographic_2747,Clear the field,public
myinfographic_2757,hyperhidrosis,public
myinfographic_2772,Election Commission of India,public
myinfographic_2798,Lighting,public
myinfographic_2829,El Vaso de Oro,public
myinfographic_2838,Data is dynamic and encrypted,public
myinfographic_2842,women,public
myinfographic_2855,no,public
myinfographic_2872,Christmas,public
myinfographic_2901,world map,public
myinfographic_2921,Regional data collections,public
myinfographic_2934,Deflation,public
myinfographic_2935,instant access coupons,public
myinfographic_2937,Start with furniture,public
myinfographic_2993,Some times,public
myinfographic_3011,Empire State Building,public
myinfographic_3049,to show the periodic table,public
myinfographic_3055,5 minutes,public
myinfographic_3075,Christmas tree fires,public
myinfographic_3084,Legal sanctions,public
myinfographic_3085,Innovative,public
myinfographic_3097,the number of tornadoes in 2011,public
myinfographic_3108,Pop pimples,public
myinfographic_3112,no,public
myinfographic_3129,epinephrine,public
myinfographic_3131,Increased alertness,public
myinfographic_3134,low ad relevance score,public
myinfographic_3160,Delivered,public
myinfographic_3181,Yes,public
myinfographic_3184,to prevent dogs from chewing on furniture,public
myinfographic_3189,Accelerated Method,public
myinfographic_3206,8 things to do,public
myinfographic_3225,Contact us today,public
myinfographic_3233,worldwide,public
